Year,Period,Date,State,PlanName,Accounts,AUM,Note
2001,Q4,2001-12-31,Alabama,Alabama Prepaid,53241.0,572245358.0,
2001,Q4,2001-12-31,Alaska,Alaska,31147.0,177000000.0,
2001,Q4,2001-12-31,Arizona,Arizona,3989.0,27926899.0,
2001,Q4,2001-12-31,Arkansas,Arkansas,1211.0,8468782.0,
2001,Q4,2001-12-31,California,California,41209.0,176297039.0,
2001,Q4,2001-12-31,Colorado,Colorado Prepaid,10970.0,82400000.0,
2001,Q4,2001-12-31,Colorado,Colorado Savings,10921.0,71605177.0,
2001,Q4,2001-12-31,Connecticut,Connecticut,18326.0,137144344.0,
2001,Q4,2001-12-31,Delaware,Delaware,6692.0,42649407.0,
2001,Q4,2001-12-31,Florida,Florida,655000.0,2718973000.0,
2001,Q4,2001-12-31,Georgia,Georgia,,,
2001,Q4,2001-12-31,Hawaii,Hawaii,,,
2001,Q4,2001-12-31,Idaho,Idaho,1284.0,3330239.0,
2001,Q4,2001-12-31,Illinois,Illinois Prepaid,22788.0,170758088.0,
2001,Q4,2001-12-31,Illinois,Illinois Savings,32000.0,194000000.0,
2001,Q4,2001-12-31,Indiana,Indiana,7088.0,32360083.0,
2001,Q4,2001-12-31,Iowa,Iowa,20107.0,60883442.0,
2001,Q4,2001-12-31,Kansas,Kansas,24900.0,144000000.0,
2001,Q4,2001-12-31,Kentucky,Kentucky Prepaid,2700.0,,
2001,Q4,2001-12-31,Kentucky,Kentucky Savings,4959.0,19655768.0,
2001,Q4,2001-12-31,Louisiana,Louisiana,4307.0,7563149.0,
2001,Q4,2001-12-31,Maine,Maine,49159.0,600569301.0,
2001,Q4,2001-12-31,Maryland,Maryland,10366.0,68416772.0,
2001,Q4,2001-12-31,Massachusetts,Massachusetts Prepaid,31900.0,99900000.0,
2001,Q4,2001-12-31,Massachusetts,Massachusetts Savings,52000.0,461400000.0,
2001,Q4,2001-12-31,Michigan,Michigan Prepaid,62900.0,862011644.0,
2001,Q4,2001-12-31,Michigan,Michigan Savings,35088.0,98535651.0,
2001,Q4,2001-12-31,Minnesota,Minnesota,,,
2001,Q4,2001-12-31,Mississippi,Mississippi Prepaid,14511.0,73649801.0,
2001,Q4,2001-12-31,Mississippi,Mississippi Savings,850.0,2923180.0,
2001,Q4,2001-12-31,Missouri,Missouri,16945.0,54653422.0,
2001,Q4,2001-12-31,Montana,Montana,2879.0,20957922.0,
2001,Q4,2001-12-31,Nebraska,Nebraska,13015.0,51090580.0,
2001,Q4,2001-12-31,Nevada,Nevada Prepaid,8317.0,27400000.0,
2001,Q4,2001-12-31,Nevada,Nevada Savings,,,
2001,Q4,2001-12-31,New Hampshire,New Hampshire,80213.0,570037239.0,
2001,Q4,2001-12-31,New Jersey,New Jersey,13374.0,47328561.0,
2001,Q4,2001-12-31,New Mexico,New Mexico Prepaid & Savings,3696.0,11818733.0,
2001,Q4,2001-12-31,New York,New York,152601.0,702226011.0,
2001,Q4,2001-12-31,North Carolina,North Carolina,2389.0,11323945.0,
2001,Q4,2001-12-31,North Dakota,North Dakota,,,
2001,Q4,2001-12-31,Ohio,Ohio,327753.0,1743968184.0,
2001,Q4,2001-12-31,Oklahoma,Oklahoma,3830.0,10729693.0,
2001,Q4,2001-12-31,Oregon,Oregon,10241.0,33450356.0,
2001,Q4,2001-12-31,Pennsylvania,Pennsylvania,61402.0,235000000.0,
2001,Q4,2001-12-31,Rhode Island,Rhode Island,179617.0,1517871869.0,
2001,Q4,2001-12-31,South Carolina,South Carolina Prepaid,4031.0,37045454.0,
2001,Q4,2001-12-31,South Dakota,South Dakota,,,
2001,Q4,2001-12-31,Tennessee,Tennessee Prepaid,7206.0,32000000.0,
2001,Q4,2001-12-31,Tennessee,Tennessee Savings,1050.0,2869605.0,
2001,Q4,2001-12-31,Texas,Texas,115000.0,628398706.0,
2001,Q4,2001-12-31,Utah,Utah,7800.0,41000000.0,
2001,Q4,2001-12-31,Vermont,Vermont,1362.0,8028463.0,
2001,Q4,2001-12-31,Virginia,Virginia Prepaid,39495.0,407200000.0,
2001,Q4,2001-12-31,Virginia,Virginia Savings,19637.0,102400000.0,
2001,Q4,2001-12-31,Washington,Washington Prepaid,13067.0,72880753.0,
2001,Q4,2001-12-31,West Virginia,West Virginia Prepaid,8300.0,52800000.0,
2001,Q4,2001-12-31,Wisconsin,Wisconsin,49913.0,233451217.0,
2001,Q4,2001-12-31,Wyoming,Wyoming,,7076713.0,
2002,Q1,2002-03-31,Alabama,Alabama Prepaid,52805.0,565943352.0,
2002,Q1,2002-03-31,Alaska,Alaska,47853.0,313000000.0,
2002,Q1,2002-03-31,Arizona,Arizona,11149.0,63236356.0,
2002,Q1,2002-03-31,Arkansas,Arkansas,7260.0,60000000.0,
2002,Q1,2002-03-31,California,California,65488.0,353166783.0,
2002,Q1,2002-03-31,Colorado,Colorado Prepaid,11784.0,86400000.0,
2002,Q1,2002-03-31,Colorado,Colorado Savings,67009.0,444215253.0,
2002,Q1,2002-03-31,Connecticut,Connecticut,22753.0,180265365.0,
2002,Q1,2002-03-31,Delaware,Delaware,11000.0,74000000.0,
2002,Q1,2002-03-31,Florida,Florida,732621.0,2855841563.0,
2002,Q1,2002-03-31,Georgia,Georgia,,,Not available or program not yet operational
2002,Q1,2002-03-31,Hawaii,Hawaii,,,Not available or program not yet operational
2002,Q1,2002-03-31,Idaho,Idaho,3517.0,10846689.0,
2002,Q1,2002-03-31,Illinois,Illinois Prepaid,26814.0,182900000.0,
2002,Q1,2002-03-31,Illinois,Illinois Savings,43411.0,279402396.0,
2002,Q1,2002-03-31,Indiana,Indiana,11621.0,51869093.0,
2002,Q1,2002-03-31,Iowa,Iowa,37427.0,200470915.0,
2002,Q1,2002-03-31,Kansas,Kansas,30241.0,214700000.0,
2002,Q1,2002-03-31,Kentucky,Kentucky Prepaid,3200.0,14500000.0,
2002,Q1,2002-03-31,Kentucky,Kentucky Savings,6794.0,23295462.0,
2002,Q1,2002-03-31,Louisiana,Louisiana,4827.0,9167154.0,
2002,Q1,2002-03-31,Maine,Maine,90614.0,1099494450.0,
2002,Q1,2002-03-31,Maryland,Maryland Prepaid,14483.0,89501104.0,
2002,Q1,2002-03-31,Maryland,Maryland Savings,35206.0,132188902.0,
2002,Q1,2002-03-31,Massachusetts,Massachusetts Prepaid,35378.0,99816665.0,
2002,Q1,2002-03-31,Massachusetts,Massachusetts Savings,62050.0,568986516.0,
2002,Q1,2002-03-31,Michigan,Michigan Prepaid,63708.0,841031924.0,
2002,Q1,2002-03-31,Michigan,Michigan Savings,49881.0,160548802.0,
2002,Q1,2002-03-31,Minnesota,Minnesota,9635.0,34991790.0,
2002,Q1,2002-03-31,Mississippi,Mississippi Prepaid,14638.0,83406431.0,
2002,Q1,2002-03-31,Mississippi,Mississippi Savings,1186.0,4671116.0,
2002,Q1,2002-03-31,Missouri,Missouri,32742.0,140235618.0,
2002,Q1,2002-03-31,Montana,Montana,4236.0,34900000.0,
2002,Q1,2002-03-31,Nebraska,Nebraska,17567.0,87602966.0,
2002,Q1,2002-03-31,Nevada,Nevada Prepaid,9336.0,33215694.0,
2002,Q1,2002-03-31,Nevada,Nevada Savings,1220.0,6779437.0,
2002,Q1,2002-03-31,New Hampshire,New Hampshire,146000.0,1110000000.0,
2002,Q1,2002-03-31,New Jersey,New Jersey,20149.0,82849000.0,
2002,Q1,2002-03-31,New Mexico,New Mexico Prepaid,28.0,200000.0,
2002,Q1,2002-03-31,New Mexico,New Mexico Savings,17591.0,85140000.0,
2002,Q1,2002-03-31,New York,New York,224803.0,1099953198.0,
2002,Q1,2002-03-31,North Carolina,North Carolina,4769.0,28022664.0,
2002,Q1,2002-03-31,North Dakota,North Dakota,1549.0,12819186.0,
2002,Q1,2002-03-31,Ohio,Ohio Guaranteed Fund,115888.0,655422407.0,
2002,Q1,2002-03-31,Ohio,Ohio Variable Funds,281736.0,1568401012.0,
2002,Q1,2002-03-31,Oklahoma,Oklahoma,5375.0,15246600.0,
2002,Q1,2002-03-31,Oregon,Oregon,14003.0,50380284.0,
2002,Q1,2002-03-31,Pennsylvania,Pennsylvania,78789.0,353325000.0,
2002,Q1,2002-03-31,Rhode Island,Rhode Island,237773.0,2069727443.0,
2002,Q1,2002-03-31,South Carolina,South Carolina Prepaid,4712.0,42741244.0,
2002,Q1,2002-03-31,South Carolina,South Carolina Savings,161.0,951839.0,
2002,Q1,2002-03-31,South Dakota,South Dakota,,,Not available or program not yet operational
2002,Q1,2002-03-31,Tennessee,Tennessee Prepaid,7273.0,34311765.0,
2002,Q1,2002-03-31,Tennessee,Tennessee Savings,1247.0,3612277.0,
2002,Q1,2002-03-31,Texas,Texas,98976.0,789610169.0,
2002,Q1,2002-03-31,Utah,Utah,19781.0,185500000.0,
2002,Q1,2002-03-31,Vermont,Vermont,1749.0,10662075.0,
2002,Q1,2002-03-31,Virginia,Virginia Prepaid,42045.0,427800000.0,
2002,Q1,2002-03-31,Virginia,Virginia Savings,60166.0,395800000.0,
2002,Q1,2002-03-31,Washington,Washington Prepaid,15357.0,84455710.0,
2002,Q1,2002-03-31,West Virginia,West Virginia Prepaid,8541.0,56000000.0,
2002,Q1,2002-03-31,West Virginia,West Virginia Savings,1320.0,5848000.0,
2002,Q1,2002-03-31,Wisconsin,Wisconsin,74485.0,364512037.0,
2002,Q1,2002-03-31,Wyoming,Wyoming,1354.0,11474074.0,
